Movie,LeadStudio,RottenTomatoes,AudienceScore,Story,Genre,TheatersOpenWeek,OpeningWeekend,BOAvgOpenWeekend,DomesticGross,ForeignGross,WorldGross,Budget,Profitability,OpenProfit,Year
Grindhouse,Weinstein,82,86,pursuit,Action,2624,11.6,4419,25.04,0.38,25.42,53,47.96,21.89,2007
Sicko,Weinstein,93,87,quest,Documentary,702,3.6,5128,24.54,11.55,36.09,9,400.98,40,2007
Across the Universe,Independent,54,84,Love,Romance,954,3.8,4009,24.34,5.02,29.37,45,65.26,8.44,2007
The Hills Have Eyes 2,Independent,11,50,Monster Force,Horror,2447,9.7,3958,20.8,16.66,37.47,15,249.77,64.67,2007
Vacancy,Sony,55,46,Pursuit,Comedy,2551,7.6,2980,19.36,15.94,35.3,19,185.79,40,2007
Waitress,Independent,89,67,Love,Romance,605,2,3327,19.07,3.1,22.18,2,1108.9,100,2007
Into the Wild,Paramount,82,90,quest,Drama,658,2.1,3249,18.35,37.9,56.25,15,375.03,14,2007
Walk Hard: The Dewey Cox Story,Sony,75,55,Comedy,Comedy,2650,4.1,1575,18.32,2.26,20.58,35,58.79,11.71,2007
Next,Paramount,29,59,Pursuit,Thriller,2725,7.1,2617,18.21,57.86,76.07,70,108.67,10.14,2007
Hostel: Part II,Lionsgate,44,45,Escape,Horror,2350,8.2,3490,17.61,18.01,35.62,10,356.19,82,2007
The Kite Runner,Paramount,66,85,Maturation,Drama,715,1.6,2243,15.8,57.48,73.28,20,366.38,8,2007
Happily N'Ever After,Lionsgate,4,43,Maturation,Animation,2381,6.6,2775,15.59,22.5,38.09,47,81.03,14.04,2007
The Invasion,Warner Bros,19,43,Monster Force,Thriller,2776,5.6,2143,15.07,25.1,40.17,80,50.21,7,2007
Lions for Lambs,Independent,27,48,Quest,Drama,2215,6.7,3025,15,48.21,63.22,35,180.61,19.14,2007
Daddy Day Camp,Sony,1,63,Comedy,Comedy,2332,3.4,1459,13.24,4.96,18.2,6,303.28,56.67,2007
Shoot 'Em Up,Warner Bros,67,66,Pursuit,Action,2108,5.7,2711,12.81,14.01,26.82,39,68.77,14.62,2007
The Darjeeling Limited,Fox,67,79,Journey and Return,Drama,698,1.8,2523,11.9,23.18,35.08,17.5,200.45,10.29,2007
In the Land of Women,Warner Bros,43,72,Transformation,Comedy,2155,4.7,2186,11.05,6.51,17.56,10,175.61,47,2007
Dragon Wars (aka D-War),Mediaplex,27,44,Monster Force,Action,2277,5,2213,10.98,64.13,75.11,75,100.14,6.67,2007
Pathfinder: Legend of the Ghost Warrior,,11,41,Rescue,Action,1720,5,2907,10.23,20.59,30.82,26,118.55,19.23,2007
The Dark Knight,Warner Bros,94,96,Revenge,Thriller,4366,158.4,36283,534.86,469.7,1004.56,185,543,85.62,2008
Iron Man,Paramount,94,91,Metamorphosis,Action,4105,98.62,24024,318.76,266.76,585.52,186,314.8,53.02,2008
Indiana Jones and the Kingdom of the Crystal Skull,Paramount,77,59,Pursuit,Action,4260,100.1,23507,317.1,469.53,786.64,185,425.21,54.11,2008
Hancock,Sony,40,67,Discovery,Action,3965,62.6,15789,227.95,396.44,624.39,150,416.26,41.73,2008
WALL-E,Disney,96,89,love,Animation,3992,63.09,15803,223.81,297.5,521.31,180,289.62,35.05,2008
Kung Fu Panda,Paramount,88,83,Underdog,Animation,4114,60.24,14642,215.43,416.31,631.74,200,315.87,30.12,2008
Madagascar: Escape 2 Africa,Paramount,64,73,Journey and Return,Animation,4056,63.11,15559,180.01,423.89,603.9,150,402.6,42.07,2008
Twilight,Summit,49,82,Love,Romance,3419,69.64,20368,192.77,199.85,392.62,37,1061.12,188.22,2008
Quantum of Solace,MGM,64,62,Revenge,Action,3451,67.5,19568,168.37,417.72,586.09,230,254.82,29.35,2008
Dr. Seuss' Horton Hears a Who!,Fox,79,75,rescue,Animation,3954,45,11384,154.53,142.61,297.14,85,349.57,52.94,2008
Sex and the City,Warner Bros,49,81,love,Comedy,3285,57.04,17363,152.65,262.61,415.25,57.5,722.18,99.2,2008
Gran Torino,Warner Bros,80,90,Temptation,Drama,,29.48,,148.1,121.86,269.96,33,818.05,89.33,2008
Mamma Mia!,Universal,53,76,Love,Comedy,2976,27.75,9325,144.13,465.71,609.84,66,924,42.05,2008
The Chronicles of Narnia: Prince Caspian,Disney,66,78,fish out of water,Action,3929,55.03,14007,141.62,278.04,419.67,200,209.83,27.52,2008
Slumdog Millionaire,Independent,94,90,Underdog,Crime,,4.3,,141.32,236.59,377.91,15,2519.39,28.67,2008
The Incredible Hulk,Universal,67,75,Metamorphosis,Action,3505,55.14,15810,134.81,128.62,263.43,137.5,191.58,40.1,2008
Wanted,Universal,73,72,Transformation,Action,3175,50.93,16040,134.51,206.92,341.43,75,455.24,67.91,2008
Get Smart,Warner Bros,51,73,Pursuit,Action,3911,38.7,9891,130.32,100.37,230.69,80,288.36,48.38,2008
Four Christmases,Warner Bros,26,52,love,Comedy,,31.07,,120.15,43.59,163.73,80,204.67,38.84,2008
Tropic Thunder,Paramount,83,69,fish out of water,Comedy,3319,25.81,7777,110.52,77.56,188.07,90,208.97,28.68,2008
Bedtime Stories,Disney,25,63,rivalry,Comedy,3681,27.5,7457,110.1,102.77,212.87,80,266.09,34.38,2008
Bolt,Disney,89,76,rescue,Animation,3651,26.2,7182,114.05,195.93,309.98,150,206.65,17.47,2008
Marley and Me,Fox,63,77,love,Comedy,3480,36.36,10448,143.15,99.56,242.72,55,441.3,66.11,2008
The Mummy: Tomb of the Dragon Emperor,Universal,14,40,Quest,Action,3760,40.5,10760,102.49,298.64,401.13,145,276.64,27.93,2008
Journey to the Center of the Earth,Warner Bros,61,55,Quest,Action,2811,21,7477,101.7,140.29,241.99,45,537.76,46.67,2008
Eagle Eye,Paramount,27,72,pursuit,Action,3510,29.2,8305,101.44,76.63,178.07,80,222.58,36.5,2008
Step Brothers,Sony,54,68,Comedy,Comedy,3094,30.94,10000,100.47,27.64,128.11,65,197.09,47.6,2008
You Don't Mess with the Zohan,Sony,36,50,fish out of water,Comedy,3462,38.53,11130,100.02,99.92,199.94,80,249.92,48.16,2008
Yes Man,Warner Bros,43,72,Transformation,Comedy,3434,18.26,5318,97.69,125.55,223.24,70,318.91,26.09,2008
"10,000 B.C.",Warner Bros,9,44,Rescue,Adventure,3410,35.9,10518,94.78,175,269.78,105,256.94,34.19,2008
Beverly Hills Chihuahua,Disney,41,56,Journey and Return,Adventure,3215,29.3,9114,94.51,54.77,149.28,20,746.41,146.5,2008
High School Musical 3: Senior Year,Disney,65,76,love,Comedy,3623,42.03,11601,90.56,162.35,252.91,11,2299.16,382.09,2008
Pineapple Express,Sony,68,74,Comedy,Action,3072,23.2,7567,87.34,14.28,101.62,26,390.86,89.23,2008
Valkyrie,MGM,58,66,Sacrifice,Thriller,2711,21.03,7756,83.08,117.2,200.28,75,267.03,28.04,2008
21,Sony,35,73,quest,Crime,2648,24.1,9103,81.16,76.77,157.93,35,451.22,68.86,2008
What Happens in Vegas,Fox,28,72,Love,Comedy,3215,20.17,6274,80.28,139.1,219.38,35,626.79,57.63,2008
Jumper,Fox,16,50,Rescue,Action,3428,27.4,7980,80.17,142.06,222.23,82.5,269.37,33.21,2008
Cloverfield,Paramount,77,67,Monster Force,Action,3411,40.1,11744,80.05,90.72,170.76,25,683.05,160.4,2008
The Curious Case of Benjamin Button,Warner Bros,73,81,love,Fantasy,2988,26.85,8987,127.51,206.42,333.93,160,208.71,16.78,2008
27 Dresses,Fox,40,71,Love,Comedy,3057,23.01,7526,76.81,83.45,160.26,30,534.19,76.7,2008
Hellboy II: The Golden Army,Universal,87,70,sacrifice,Action,3204,34.5,10780,75.99,84.4,160.39,82.5,194.41,41.82,2008
The Day the Earth Stood Still,Fox,19,34,Sacrifice,Thriller,3560,30.5,8562,79.37,153.73,233.09,100,233.09,30.5,2008
Vantage Point,Sony,35,61,The Riddle,,3149,22.87,7264,72.27,78.9,151.16,40,377.9,57.18,2008
The Spiderwick Chronicles,Paramount,79,67,fish out of water,Fantasy,3847,19,4940,71.2,91.64,162.84,92.5,176.04,20.54,2008
Fool's Gold,Warner Bros,11,53,Quest,Adventure,3125,21.6,6909,70.23,41,111.23,72.5,153.42,29.79,2008
Role Models,Universal,77,75,Discovery,Comedy,2792,19.17,6865,67.29,25.09,92.38,28,329.93,68.46,2008
The Happening,Fox,19,29,escape,Thriller,2986,30.52,10220,64.51,98.9,163.4,48,340.42,63.58,2008
Forgetting Sarah Marshall,Independent,85,75,maturation,Comedy,2798,17.73,6791,63.17,42,105.17,30,350.57,59.1,2008
Burn After Reading,Relativity Media,78,64,Comedy,Comedy,2651,19.13,7215,60.36,103.36,163.72,37,442.48,51.7,2008
Baby Mama,Independent,63,59,Discovery,Comedy,2543,17.41,6845,60.49,3.67,64.16,70,91.66,24.87,2008
Seven Pounds,Sony,27,77,Sacrifice,Drama,2758,14.9,5385,69.95,98.22,168.17,55,305.76,27.09,2008
Step Up 2: The Streets,Disney,26,81,underdog,Drama,2470,18.91,7655,58.02,92.8,150.82,17.5,861.8,108.06,2008
Saw V,Independent,13,63,Monster Force,Crime,3030,30.1,9822,56.75,57.12,113.86,10.8,1054.29,278.7,2008
The Strangers,Relativity Media,44,48,Escape,Horror,2466,20.99,8515,52.6,29.79,82.39,9,915.44,233.22,2008
The Forbidden Kingdom,Relativity Media,64,65,journey & return,Action,3151,21.4,6791,52.08,75.9,127.98,55,232.69,38.91,2008
The Tale of Despereaux,Universal,54,46,Rescue,Animation,3104,10.1,3255,50.88,36.07,86.95,55,158.09,18.36,2008
The House Bunny,Sony,39,54,Discovery,Comedy,2714,14.53,5355,48.24,22.21,70.44,25,281.77,58.12,2008
Nim's Island,Independent,51,50,rescue,Adventure,3513,13.2,3760,48.01,52.07,100.08,37,270.47,35.68,2008
Australia,Fox,55,69,Fish Out of Water,Adventure,2642,14.8,5602,49.55,161.79,211.34,78,270.95,18.97,2008
